#code,NPTGCode,lines,lon,lat,name
XPRD,9400ZZLUPRD1,M,-0.29525630015897,51.57203799181500,Preston Road,Preston Road fast
XLRD,9400ZZLULRD1,H,-0.21777930179215,51.51354359389710,Latimer Road
XGRD,9400ZZLUGHK1,H,-0.22674832920358,51.50195219730120,Goldhawk Road
PADc,9400ZZLUPAC1,H,-0.1774,51.5173,Paddington Circle
PADs,9400ZZLUPAH1,H,-0.1774,51.5173,Paddington H & C
XXX5,xxx,B,-0.207778,51.533611,North Sidings between Queen's park and
XXX9,xxx,B,-0.207778,51.533611,Queen's Park North Sidings
XXX6,xxx,B,-0.104722,51.498333,London Road Depot
XXX8,xxx,V,-0.01991863902501,51.58295470500250,Walthamstow Sidings
XKRI,xxx,B,-0.2208,51.5342,Kensal Rise
